text,joy,sadness,anger,love,thankfulness,fear
"But the moment the children tried to join in they had to play by themselves, for the mermaids immediately disappeared.",0.095,0.526,0.738,0.266,0.612,0.084
"Nevertheless we have proof that they secretly watched the interlopers, and were not above taking an idea from them; for John introduced a new way of hitting the bubble, with the head instead of the hand, and the mermaids adopted it.",0.540,0.776,0.940,0.603,0.985,0.196
This is the one mark that John has left on the Neverland.,0.177,0.688,0.465,0.939,0.571,0.264
It must also have been rather pretty to see the children resting on a rock for half an hour after their mid-day meal.,0.353,0.233,0.382,0.552,0.912,0.099
"Wendy insisted on their doing this, and it had to be a real rest even though the meal was make-believe.",0.427,0.578,0.503,0.413,0.633,0.141
"So they lay there in the sun, and their bodies glistened in it, while she sat beside them and looked important.",0.112,0.776,0.386,0.287,0.537,0.045
"It was one such day, and they were all on Marooners' Rock.",0.188,0.072,0.938,0.612,0.976,0.054
"The rock was not much larger than their great bed, but of course they all knew how not to take up much room, and they were dozing, or at least lying with their eyes shut, and pinching occasionally when they thought Wendy was not looking.",0.066,0.298,0.886,0.968,0.989,0.024
"She was very busy, stitching.",0.454,0.500,0.474,0.153,0.957,0.116
While she stitched a change came to the lagoon.,0.192,0.680,0.310,0.253,0.262,0.344
"Little shivers ran over it, and the sun went away and shadows stole across the water, turning it cold.",0.031,0.794,0.398,0.096,0.339,0.689
"Wendy could no longer see to thread her needle, and when she looked up, the lagoon that had always hitherto been such a laughing place seemed formidable and unfriendly.",0.356,0.462,0.908,0.936,0.065,0.197
"It was not, she knew, that night had come, but something as dark as night had come.",0.333,0.449,0.940,0.753,0.373,0.185
"No, worse than that.",0.068,0.814,0.073,0.706,0.072,0.451
"It had not come, but it had sent that shiver through the sea to say that it was coming.",0.612,0.317,0.752,0.453,0.939,0.157
What was it?,0.084,0.066,0.879,0.326,0.987,0.109
"There crowded upon her all the stories she had been told of Marooners' Rock, so called because evil captains put sailors on it and leave them there to drown.",0.323,0.857,0.125,0.982,0.349,0.368
"They drown when the tide rises, for then it is submerged.",0.268,0.791,0.772,0.978,0.486,0.238
"Of course she should have roused the children at once; not merely because of the unknown that was stalking toward them, but because it was no longer good for them to sleep on a rock grown chilly.",0.291,0.252,0.648,0.801,0.988,0.030
But she was a young mother and she did not know this; she thought you simply must stick to your rule about half an hour after the mid-day meal.,0.609,0.474,0.936,0.787,0.975,0.084
"So, though fear was upon her, and she longed to hear male voices, she would not waken them.",0.048,0.867,0.809,0.696,0.285,0.182
"Even when she heard the sound of muffled oars, though her heart was in her mouth, she did not waken them.",0.109,0.693,0.701,0.510,0.910,0.230
She stood over them to let them have their sleep out.,0.776,0.379,0.027,0.332,0.408,0.135
Was it not brave of Wendy?,0.068,0.631,0.954,0.337,0.860,0.145
It was well for those boys then that there was one among them who could sniff danger even in his sleep.,0.166,0.568,0.987,0.450,0.910,0.335
"Peter sprang erect, as wide awake at once as a dog, and with one warning cry he roused the others.",0.081,0.300,0.812,0.825,0.968,0.015
"He stood motionless, one hand to his ear.",0.511,0.742,0.310,0.688,0.052,0.390
The others came closer to him.,0.107,0.549,0.058,0.617,0.045,0.783
"A strange smile was playing about his face, and Wendy saw it and shuddered.",0.176,0.652,0.922,0.766,0.835,0.166
While that smile was on his face no one dared address him; all they could do was to stand ready to obey.,0.373,0.188,0.994,0.685,0.930,0.100
The order came sharp and incisive.,0.462,0.520,0.580,0.850,0.586,0.441
"There was a gleam of legs, and instantly the lagoon seemed deserted.",0.198,0.262,0.992,0.756,0.878,0.149
Marooners' Rock stood alone in the forbidding waters as if it were itself marooned.,0.213,0.442,0.218,0.965,0.970,0.021
The boat drew nearer.,0.093,0.649,0.636,0.870,0.032,0.326
"It was the pirate dinghy, with three figures in her, Smee and Starkey, and the third a captive, no other than Tiger Lily.",0.177,0.387,0.774,0.633,0.559,0.544
"Her hands and ankles were tied, and she knew what was to be her fate.",0.716,0.536,0.387,0.894,0.987,0.105
"She was to be left on the rock to perish, an end to one of her race more terrible than death by fire or torture, for is it not written in the book of the tribe that there is no path through water to the happy hunting-ground?",0.120,0.406,0.833,0.873,0.504,0.143
"Yet her face was impassive; she was the daughter of a chief, she must die as a chief's daughter, it is enough.",0.114,0.301,0.873,0.993,0.976,0.221
They had caught her boarding the pirate ship with a knife in her mouth.,0.732,0.332,0.005,0.494,0.499,0.363
"No watch was kept on the ship, it being Hook's boast that the wind of his name guarded the ship for a mile around.",0.767,0.521,0.337,0.234,0.948,0.045
Now her fate would help to guard it also.,0.027,0.960,0.274,0.596,0.681,0.117
One more wail would go the round in that wind by night.,0.294,0.583,0.421,0.723,0.779,0.330
In the gloom that they brought with them the two pirates did not see the rock till they crashed into it.,0.193,0.724,0.531,0.194,0.852,0.176
"Luff, you lubber, cried an Irish voice that was Smee's; here's the rock.",0.294,0.315,0.182,0.359,0.818,0.296
"Now, then, what we have to do is to hoist the redskin on to it and leave her here to drown.",0.507,0.890,0.918,0.883,0.775,0.224
It was the work of one brutal moment to land the beautiful girl on the rock; she was too proud to offer a vain resistance.,0.757,0.354,0.615,0.745,0.631,0.049
"Quite near the rock, but out of sight, two heads were bobbing up and down, Peter's and Wendy's.",0.700,0.782,0.408,0.907,0.981,0.529
"Wendy was crying, for it was the first tragedy she had seen.",0.200,0.257,0.841,0.658,0.912,0.089
"Peter had seen many tragedies, but he had forgotten them all.",0.082,0.201,0.943,0.255,0.105,0.469
"He was less sorry than Wendy for Tiger Lily: it was two against one that angered him, and he meant to save her.",0.193,0.305,0.982,0.878,0.841,0.268
"An easy way would have been to wait until the pirates had gone, but he was never one to choose the easy way.",0.553,0.570,0.685,0.162,0.958,0.172
"There was almost nothing he could not do, and he now imitated the voice of Hook.",0.352,0.860,0.022,0.724,0.886,0.078
"Ahoy there, you lubbers!",0.373,0.447,0.021,0.431,0.306,0.305
It was a marvellous imitation.,0.692,0.159,0.933,0.410,0.939,0.217
"The captain! said the pirates, staring at each other in surprise.",0.896,0.752,0.065,0.608,0.989,0.022
"He must be swimming out to us, Starkey said, when they had looked for him in vain.",0.440,0.363,0.782,0.301,0.557,0.082
"We are putting the redskin on the rock, Smee called out.",0.902,0.869,0.506,0.833,0.736,0.223
"Set her free, came the astonishing answer.",0.781,0.352,0.649,0.277,0.512,0.134
"Yes, cut her bonds and let her go.",0.152,0.274,0.021,0.631,0.525,0.817
"At once, d'ye hear, cried Peter, or I'll plunge my hook in you.",0.177,0.009,0.101,0.095,0.991,0.032
This is queer!,0.463,0.806,0.154,0.966,0.308,0.488
"Better do what the captain orders, said Starkey nervously.",0.866,0.082,0.499,0.297,0.752,0.084
"Ay, ay, Smee said, and he cut Tiger Lily's cords.",0.045,0.118,0.402,0.676,0.186,0.761
At once like an eel she slid between Starkey's legs into the water.,0.042,0.702,0.383,0.425,0.995,0.015
"Of course Wendy was very elated over Peter's cleverness; but she knew that he would be elated also and very likely crow and thus betray himself, so at once her hand went out to cover his mouth.",0.268,0.936,0.638,0.802,0.975,0.080
"But it was stayed even in the act, for Boat ahoy!",0.411,0.451,0.694,0.794,0.735,0.187
"rang over the lagoon in Hook's voice, and this time it was not Peter who had spoken.",0.571,0.009,0.377,0.298,0.781,0.509
"Peter may have been about to crow, but his face puckered in a whistle of surprise instead.",0.599,0.335,0.840,0.217,0.335,0.523
Boat ahoy! again came the voice.,0.251,0.467,0.001,0.754,0.120,0.452
Now Wendy understood.,0.071,0.920,0.027,0.146,0.356,0.263
The real Hook was also in the water.,0.450,0.141,0.747,0.119,0.923,0.398
"He was swimming to the boat, and as his men showed a light to guide him he had soon reached them.",0.485,0.282,0.885,0.665,0.687,0.130
"In the light of the lantern Wendy saw his hook grip the boat's side; she saw his evil swarthy face as he rose dripping from the water, and, quaking, she would have liked to swim away, but Peter would not budge.",0.459,0.646,0.386,0.525,0.363,0.445
He was tingling with life and also top-heavy with conceit.,0.038,0.180,0.854,0.688,0.820,0.059
"Am I not a wonder, oh, I am a wonder!",0.322,0.829,0.298,0.146,0.079,0.243
"he whispered to her, and though she thought so also, she was really glad for the sake of his reputation that no one heard him except herself.",0.431,0.820,0.851,0.962,0.508,0.482
He signed to her to listen.,0.323,0.454,0.984,0.681,0.089,0.366
"The two pirates were very curious to know what had brought their captain to them, but he sat with his head on his hook in a position of profound melancholy.",0.674,0.833,0.077,0.281,0.899,0.193
"Captain, is all well?",0.150,0.726,0.058,0.657,0.108,0.449
"they asked timidly, but he answered with a hollow moan.",0.132,0.049,0.252,0.497,0.250,0.136
"He sighs, said Smee.",0.341,0.448,0.536,0.718,0.011,0.140
"He sighs again, said Starkey.",0.302,0.537,0.563,0.768,0.055,0.245
"And yet a third time he sighs, said Smee.",0.604,0.566,0.119,0.577,0.282,0.180
Then at last he spoke passionately.,0.831,0.515,0.151,0.517,0.992,0.005
"The game's up, he cried, those boys have found a mother.",0.562,0.085,0.127,0.333,0.097,0.468
"Affrighted though she was, Wendy swelled with pride.",0.413,0.310,0.629,0.145,0.739,0.031
O evil day! cried Starkey.,0.736,0.389,0.764,0.249,0.132,0.415
What's a mother? asked the ignorant Smee.,0.678,0.531,0.257,0.646,0.022,0.051
Wendy was so shocked that she exclaimed.,0.086,0.632,0.978,0.311,0.886,0.128
He doesn't know!,0.428,0.320,0.026,0.771,0.175,0.199
and always after this she felt that if you could have a pet pirate Smee would be her one.,0.257,0.547,0.470,0.799,0.276,0.297
"Peter pulled her beneath the water, for Hook had started up, crying, What was that?",0.577,0.040,0.900,0.190,0.964,0.188
"I heard nothing, said Starkey, raising the lantern over the waters, and as the pirates looked they saw a strange sight.",0.916,0.247,0.691,0.450,0.907,0.316
"It was the nest I have told you of, floating on the lagoon, and the Never bird was sitting on it.",0.040,0.224,0.978,0.763,0.838,0.340
"See, said Hook in answer to Smee's question, that is a mother.",0.695,0.842,0.419,0.739,0.114,0.473
What a lesson!,0.594,0.088,0.686,0.623,0.896,0.239
"The nest must have fallen into the water, but would the mother desert her eggs?",0.029,0.897,0.883,0.215,0.242,0.314
"There was a break in his voice, as if for a moment he recalled innocent days when but he brushed away this weakness with his hook.",0.447,0.552,0.387,0.658,0.810,0.124
"Smee, much impressed, gazed at the bird as the nest was borne past, but the more suspicious Starkey said, If she is a mother, perhaps she is hanging about here to help Peter.",0.225,0.377,0.377,0.798,0.971,0.037
"Ay, he said, that is the fear that haunts me.",0.781,0.670,0.326,0.457,0.026,0.573
He was roused from this dejection by Smee's eager voice.,0.384,0.003,0.004,0.531,0.946,0.253
"Captain, said Smee, could we not kidnap these boys' mother and make her our mother?",0.340,0.843,0.186,0.860,0.049,0.280
"It is a princely scheme, cried Hook, and at once it took practical shape in his great brain.",0.037,0.391,0.529,0.493,0.984,0.070
"We will seize the children and carry them to the boat: the boys we will make walk the plank, and Wendy shall be our mother.",0.636,0.923,0.478,0.542,0.299,0.358
Again Wendy forgot herself.,0.028,0.629,0.205,0.935,0.115,0.758
"she cried, and bobbed.",0.098,0.398,0.049,0.440,0.220,0.144
What was that?,0.480,0.055,0.933,0.436,0.987,0.099
But they could see nothing.,0.015,0.104,0.871,0.858,0.461,0.276
They thought it must have been a leaf in the wind.,0.409,0.572,0.080,0.655,0.939,0.341
"Do you agree, my bullies? asked Hook.",0.259,0.240,0.840,0.184,0.489,0.059
"There is my hand on it, they both said.",0.491,0.669,0.198,0.789,0.405,0.422
And there is my hook.,0.577,0.918,0.137,0.722,0.515,0.284
They all swore.,0.026,0.002,0.799,0.870,0.715,0.316
"By this time they were on the rock, and suddenly Hook remembered Tiger Lily.",0.173,0.164,0.252,0.843,0.787,0.259
Where is the redskin?,0.199,0.581,0.168,0.972,0.444,0.373
he demanded abruptly.,0.040,0.127,0.061,0.713,0.089,0.089
"He had a playful humour at moments, and they thought this was one of the moments.",0.252,0.419,0.400,0.968,0.998,0.016
"That is all right, captain, Smee answered complacently; we let her go.",0.844,0.933,0.017,0.714,0.160,0.301
Let her go! cried Hook.,0.561,0.200,0.030,0.428,0.374,0.289
"'Twas your own orders, the bo'sun faltered.",0.202,0.890,0.239,0.517,0.496,0.107
"You called over the water to us to let her go, said Starkey.",0.808,0.274,0.212,0.413,0.850,0.318
"Brimstone and gall, thundered Hook, what cozening is going on here!",0.645,0.347,0.479,0.982,0.905,0.136
"His face had gone black with rage, but he saw that they believed their words, and he was startled.",0.721,0.324,0.722,0.621,0.957,0.082
"Lads, he said, shaking a little, I gave no such order.",0.551,0.532,0.811,0.249,0.008,0.049
"It is passing queer, Smee said, and they all fidgeted uncomfortably.",0.703,0.070,0.955,0.801,0.805,0.215
"Hook raised his voice, but there was a quiver in it.",0.278,0.161,0.603,0.465,0.969,0.323
"Spirit that haunts this dark lagoon to-night, he cried, dost hear me?",0.101,0.498,0.404,0.525,0.189,0.218
"Of course Peter should have kept quiet, but of course he did not.",0.626,0.232,0.757,0.209,0.806,0.074
He immediately answered in Hook's voice:,0.549,0.306,0.003,0.735,0.144,0.461
"Odds, bobs, hammer and tongs, I hear you.",0.351,0.498,0.132,0.542,0.266,0.230
"In that supreme moment Hook did not blanch, even at the gills, but Smee and Starkey clung to each other in terror.",0.427,0.745,0.865,0.280,0.989,0.077
"Who are you, stranger?",0.910,0.053,0.376,0.283,0.492,0.572
"I am James Hook, replied the voice, captain of the Jolly Roger.",0.295,0.113,0.004,0.692,0.155,0.517
"You are not; you are not, Hook cried hoarsely.",0.872,0.740,0.262,0.244,0.897,0.086
"Brimstone and gall, the voice retorted, say that again, and I'll cast anchor in you.",0.890,0.237,0.018,0.831,0.379,0.459
Hook tried a more ingratiating manner.,0.801,0.117,0.393,0.153,0.605,0.225
"If you are Hook, he said almost humbly, come tell me, who am I?",0.416,0.672,0.274,0.485,0.380,0.259
"A codfish, replied the voice, only a codfish.",0.594,0.093,0.027,0.277,0.688,0.435
"Hook echoed blankly, and it was then, but not till then, that his proud spirit broke.",0.761,0.513,0.965,0.693,0.446,0.197
He saw his men draw back from him.,0.396,0.796,0.682,0.210,0.671,0.197
Have we been captained all this time by a codfish!,0.623,0.884,0.350,0.602,0.520,0.316
It is lowering to our pride.,0.258,0.018,0.062,0.868,0.053,0.510
"They were his dogs snapping at him, but, tragic figure though he had become, he scarcely heeded them.",0.648,0.673,0.152,0.482,0.991,0.043
"Against such fearful evidence it was not their belief in him that he needed, it was his own.",0.150,0.589,0.813,0.461,0.974,0.145
He felt his ego slipping from him.,0.193,0.215,0.336,0.228,0.112,0.318
"Don't desert me, bully, he whispered hoarsely to it.",0.271,0.237,0.089,0.404,0.069,0.376
"In his dark nature there was a touch of the feminine, as in all the great pirates, and it sometimes gave him intuitions.",0.110,0.543,0.975,0.738,0.880,0.317
Suddenly he tried the guessing game.,0.457,0.303,0.087,0.530,0.099,0.212
"Hook, he called, have you another voice?",0.652,0.026,0.002,0.202,0.286,0.308
"Now Peter could never resist a game, and he answered blithely in his own voice, I have.",0.231,0.815,0.015,0.166,0.437,0.407
And another name?,0.278,0.235,0.170,0.380,0.359,0.120
Vegetable? asked Hook.,0.811,0.908,0.306,0.635,0.104,0.151
This answer rang out scornfully.,0.439,0.055,0.632,0.654,0.333,0.337
To Wendy's pain the answer that rang out this time was Yes.,0.472,0.102,0.819,0.333,0.928,0.699
Are you in England?,0.000,0.796,0.343,0.359,0.733,0.145
Are you here?,0.613,0.460,0.150,0.282,0.615,0.168
Hook was completely puzzled.,0.836,0.257,0.916,0.392,0.894,0.260
"You ask him some questions, he said to the others, wiping his damp brow.",0.699,0.757,0.644,0.126,0.227,0.272
"I can't think of a thing, he said regretfully.",0.257,0.292,0.436,0.465,0.207,0.308
"Can't guess, can't guess!",0.053,0.544,0.413,0.306,0.012,0.033
Do you give it up?,0.135,0.352,0.378,0.442,0.563,0.030
"Of course in his pride he was carrying the game too far, and the miscreants saw their chance.",0.388,0.566,0.001,0.303,0.849,0.349
"Yes, yes, they answered eagerly.",0.633,0.038,0.638,0.128,0.794,0.277
"Well, then, he cried, I am Peter Pan.",0.596,0.392,0.701,0.015,0.091,0.336
"In a moment Hook was himself again, and Smee and Starkey were his faithful henchmen.",0.167,0.803,0.988,0.218,0.958,0.106
"Now we have him, Hook shouted.",0.268,0.916,0.560,0.199,0.609,0.253
"Into the water, Smee.",0.630,0.430,0.795,0.106,0.087,0.729
"Starkey, mind the boat.",0.501,0.665,0.474,0.844,0.064,0.300
Take him dead or alive!,0.075,0.138,0.730,0.744,0.077,0.167
"He leaped as he spoke, and simultaneously came the gay voice of Peter.",0.961,0.121,0.017,0.532,0.043,0.562
"Are you ready, boys?",0.638,0.718,0.098,0.002,0.559,0.214
"Ay, ay, from various parts of the lagoon.",0.141,0.019,0.220,0.406,0.008,0.825
Then lam into the pirates.,0.979,0.885,0.058,0.344,0.225,0.292
The fight was short and sharp.,0.536,0.433,0.891,0.899,0.961,0.232
"First to draw blood was John, who gallantly climbed into the boat and held Starkey.",0.457,0.538,0.980,0.181,0.597,0.327
"There was fierce struggle, in which the cutlass was torn from the pirate's grasp.",0.650,0.027,0.614,0.578,0.970,0.089
He wriggled overboard and John leapt after him.,0.286,0.126,0.154,0.685,0.275,0.332
The dinghy drifted away.,0.232,0.405,0.152,0.590,0.142,0.413
"Here and there a head bobbed up in the water, and there was a flash of steel followed by a cry or a whoop.",0.170,0.081,0.980,0.672,0.977,0.169
In the confusion some struck at their own side.,0.506,0.064,0.031,0.200,0.996,0.016
"The corkscrew of Smee got Tootles in the fourth rib, but he was himself pinked in turn by Curly.",0.603,0.087,0.967,0.800,0.941,0.069
Farther from the rock Starkey was pressing Slightly and the twins hard.,0.354,0.283,0.874,0.744,0.942,0.179
Where all this time was Peter?,0.303,0.056,0.873,0.054,0.952,0.396
He was seeking bigger game.,0.038,0.002,0.555,0.972,0.776,0.430
"The others were all brave boys, and they must not be blamed for backing from the pirate captain.",0.106,0.782,0.201,0.319,0.885,0.318
"His iron claw made a circle of dead water round him, from which they fled like affrighted fishes.",0.085,0.274,0.659,0.789,0.911,0.231
But there was one who did not fear him: there was one prepared to enter that circle.,0.817,0.168,0.988,0.651,0.976,0.194
"Strangely, it was not in the water that they met.",0.350,0.841,0.853,0.262,0.930,0.275
"Hook rose to the rock to breathe, and at the same moment Peter scaled it on the opposite side.",0.314,0.462,0.429,0.404,0.972,0.039
"The rock was slippery as a ball, and they had to crawl rather than climb.",0.118,0.039,0.348,0.703,0.639,0.305
Neither knew that the other was coming.,0.361,0.723,0.644,0.664,0.834,0.043
Each feeling for a grip met the other's arm: in surprise they raised their heads; their faces were almost touching; so they met.,0.475,0.717,0.942,0.222,0.961,0.239
Some of the greatest heroes have confessed that just before they fell to they had a sinking.,0.877,0.037,0.912,0.800,0.392,0.145
Had it been so with Peter at that moment I would admit it.,0.211,0.140,0.560,0.158,0.995,0.028
"After all, he was the only man that the Sea-Cook had feared.",0.825,0.191,0.474,0.247,0.944,0.314
"But Peter had no sinking, he had one feeling only, gladness; and he gnashed his pretty teeth with joy.",0.050,0.138,0.937,0.691,0.137,0.341
"Quick as thought he snatched a knife from Hook's belt and was about to drive it home, when he saw that he was higher up the rock than his foe.",0.236,0.692,0.894,0.887,0.859,0.293
It would not have been fighting fair.,0.612,0.334,0.417,0.430,0.218,0.283
He gave the pirate a hand to help him up.,0.468,0.583,0.098,0.196,0.051,0.501
It was then that Hook bit him.,0.509,0.143,0.690,0.076,0.964,0.181
Not the pain of this but its unfairness was what dazed Peter.,0.571,0.296,0.848,0.044,0.886,0.352
It made him quite helpless.,0.447,0.085,0.267,0.015,0.131,0.376
"He could only stare, horrified.",0.197,0.067,0.904,0.310,0.056,0.170
Every child is affected thus the first time he is treated unfairly.,0.653,0.726,0.982,0.992,0.193,0.209
All he thinks he has a right to when he comes to you to be yours is fairness.,0.921,0.212,0.543,0.960,0.236,0.098
"After you have been unfair to him he will love you again, but will never afterwards be quite the same boy.",0.595,0.371,0.472,0.158,0.322,0.264
No one ever gets over the first unfairness; no one except Peter.,0.545,0.172,0.548,0.042,0.033,0.113
"He often met it, but he always forgot it.",0.030,0.387,0.700,0.582,0.019,0.368
I suppose that was the real difference between him and all the rest.,0.840,0.574,0.734,0.545,0.890,0.262
"So when he met it now it was like the first time; and he could just stare, helpless.",0.273,0.087,0.635,0.336,0.938,0.104
Twice the iron hand clawed him.,0.246,0.470,0.461,0.741,0.309,0.622
"A few moments afterwards the other boys saw Hook in the water striking wildly for the ship; no elation on the pestilent face now, only white fear, for the crocodile was in dogged pursuit of him.",0.154,0.621,0.974,0.086,0.962,0.261
"On ordinary occasions the boys would have swum alongside cheering; but now they were uneasy, for they had lost both Peter and Wendy, and were scouring the lagoon for them, calling them by name.",0.404,0.536,0.243,0.598,0.973,0.052
"They found the dinghy and went home in it, shouting Peter, Wendy as they went, but no answer came save mocking laughter from the mermaids.",0.729,0.668,0.770,0.813,0.882,0.269
"They must be swimming back or flying, the boys concluded.",0.219,0.313,0.260,0.037,0.805,0.124
"They were not very anxious, because they had such faith in Peter.",0.038,0.057,0.265,0.027,0.965,0.243
"They chuckled, boylike, because they would be late for bed; and it was all mother Wendy's fault!",0.144,0.281,0.725,0.817,0.981,0.375
"When their voices died away there came cold silence over the lagoon, and then a feeble cry.",0.142,0.282,0.492,0.454,0.867,0.104
Two small figures were beating against the rock; the girl had fainted and lay on the boy's arm.,0.312,0.762,0.271,0.327,0.892,0.113
With a last effort Peter pulled her up the rock and then lay down beside her.,0.172,0.069,0.318,0.116,0.242,0.386
Even as he also fainted he saw that the water was rising.,0.223,0.470,0.183,0.073,0.694,0.345
"He knew that they would soon be drowned, but he could do no more.",0.039,0.777,0.843,0.861,0.319,0.025
"As they lay side by side a mermaid caught Wendy by the feet, and began pulling her softly into the water.",0.166,0.372,0.186,0.399,0.418,0.303
"Peter, feeling her slip from him, woke with a start, and was just in time to draw her back.",0.311,0.478,0.834,0.071,0.934,0.234
But he had to tell her the truth.,0.305,0.493,0.542,0.519,0.317,0.241
"We are on the rock, Wendy, he said, but it is growing smaller.",0.651,0.762,0.906,0.882,0.279,0.648
Soon the water will be over it.,0.087,0.557,0.300,0.317,0.335,0.369
She did not understand even now.,0.304,0.600,0.093,0.153,0.815,0.368
"We must go, she said, almost brightly.",0.308,0.960,0.226,0.524,0.181,0.342
"Yes, he answered faintly.",0.528,0.628,0.687,0.695,0.109,0.246
"Shall we swim or fly, Peter?",0.884,0.810,0.628,0.077,0.431,0.306
He had to tell her.,0.656,0.362,0.321,0.407,0.048,0.226
"Do you think you could swim or fly as far as the island, Wendy, without my help?",0.180,0.829,0.059,0.762,0.341,0.074
She had to admit that she was too tired.,0.399,0.097,0.198,0.250,0.850,0.192
What is it?,0.276,0.570,0.422,0.775,0.914,0.214
"she asked, anxious about him at once.",0.047,0.547,0.187,0.368,0.988,0.004
"I can't help you, Wendy.",0.112,0.718,0.137,0.335,0.091,0.324
Hook wounded me.,0.663,0.175,0.441,0.596,0.236,0.319
I can neither fly nor swim.,0.772,0.854,0.207,0.604,0.824,0.195
Do you mean we shall both be drowned?,0.371,0.978,0.603,0.786,0.750,0.080
Look how the water is rising.,0.576,0.502,0.290,0.878,0.504,0.496
They put their hands over their eyes to shut out the sight.,0.839,0.373,0.382,0.276,0.922,0.447
They thought they would soon be no more.,0.018,0.390,0.267,0.471,0.951,0.033
"As they sat thus something brushed against Peter as light as a kiss, and stayed there, as if saying timidly, Can I be of any use?",0.129,0.419,0.458,0.951,0.673,0.134
"It was the tail of a kite, which Michael had made some days before.",0.790,0.013,0.689,0.120,0.780,0.496
It had torn itself out of his hand and floated away.,0.802,0.779,0.200,0.934,0.119,0.687
"Michael's kite, Peter said without interest, but next moment he had seized the tail, and was pulling the kite toward him.",0.676,0.247,0.737,0.133,0.895,0.248
"It lifted Michael off the ground, he cried; why should it not carry you?",0.092,0.406,0.353,0.297,0.066,0.136
Both of us!,0.825,0.833,0.013,0.644,0.930,0.042
It can't lift two; Michael and Curly tried.,0.237,0.139,0.039,0.461,0.800,0.236
"Let us draw lots, Wendy said bravely.",0.841,0.609,0.003,0.586,0.923,0.072
And you a lady; never.,0.631,0.227,0.219,0.670,0.470,0.289
Already he had tied the tail round her.,0.543,0.422,0.005,0.479,0.041,0.643
"She clung to him; she refused to go without him; but with a Good-bye, Wendy, he pushed her from the rock; and in a few minutes she was borne out of his sight.",0.784,0.810,0.605,0.409,0.955,0.119
Peter was alone on the lagoon.,0.167,0.028,0.721,0.177,0.980,0.023
The rock was very small now; soon it would be submerged.,0.349,0.731,0.789,0.085,0.955,0.045
Pale rays of light tiptoed across the waters; and by and by there was to be heard a sound at once the most musical and the most melancholy in the world: the mermaids calling to the moon.,0.124,0.306,0.804,0.969,0.986,0.084
Peter was not quite like other boys; but he was afraid at last.,0.471,0.036,0.791,0.232,0.997,0.011
"A tremour ran through him, like a shudder passing over the sea; but on the sea one shudder follows another till there are hundreds of them, and Peter felt just the one.",0.189,0.259,0.924,0.184,0.928,0.223
"Next moment he was standing erect on the rock again, with that smile on his face and a drum beating within him.",0.157,0.703,0.595,0.097,0.433,0.266
"It was saying, To die will be an awfully big adventure.",0.463,0.286,0.907,0.149,0.972,0.489
The last sound Peter heard before he was quite alone were the mermaids retiring one by one to their bedchambers under the sea.,0.426,0.408,0.721,0.312,0.988,0.026
"He was too far away to hear their doors shut; but every door in the coral caves where they live rings a tiny bell when it opens or closes (as in all the nicest houses on the mainland), and he heard the bells.",0.884,0.361,0.545,0.847,0.126,0.739
"Steadily the waters rose till they were nibbling at his feet; and to pass the time until they made their final gulp, he watched the only thing on the lagoon.",0.676,0.152,0.371,0.209,0.994,0.013
"He thought it was a piece of floating paper, perhaps part of the kite, and wondered idly how long it would take to drift ashore.",0.588,0.498,0.490,0.857,0.850,0.188
"Presently he noticed as an odd thing that it was undoubtedly out upon the lagoon with some definite purpose, for it was fighting the tide, and sometimes winning; and when it won, Peter, always sympathetic to the weaker side, could not help clapping; it was such a gallant piece of paper.",0.407,0.215,0.753,0.831,0.844,0.376
"It was not really a piece of paper; it was the Never bird, making desperate efforts to reach Peter on the nest.",0.089,0.437,0.993,0.674,0.973,0.344
"By working her wings, in a way she had learned since the nest fell into the water, she was able to some extent to guide her strange craft, but by the time Peter recognised her she was very exhausted.",0.194,0.537,0.946,0.651,0.926,0.178
"She had come to save him, to give him her nest, though there were eggs in it.",0.036,0.934,0.985,0.412,0.874,0.098
"I rather wonder at the bird, for though he had been nice to her, he had also sometimes tormented her.",0.335,0.521,0.579,0.664,0.990,0.028
"I can suppose only that, like Mrs. Darling and the rest of them, she was melted because he had all his first teeth.",0.772,0.436,0.534,0.775,0.928,0.804
"She called out to him what she had come for, and he called out to her what she was doing there; but of course neither of them understood the other's language.",0.269,0.163,0.614,0.473,0.664,0.084
"In fanciful stories people can talk to the birds freely, and I wish for the moment I could pretend that this were such a story, and say that Peter replied intelligently to the Never bird; but truth is best, and I want to tell you only what really happened.",0.069,0.523,0.368,0.878,0.861,0.079
"Well, not only could they not understand each other, but they forgot their manners.",0.110,0.729,0.630,0.249,0.167,0.201
"I want you to get into the nest, the bird called, speaking as slowly and distinctly as possible, and then you can drift ashore, but I am too tired to bring it any nearer",0.466,0.867,0.869,0.909,0.140,0.225
so you must try to swim to it.,0.673,0.340,0.386,0.428,0.390,0.322
What are you quacking about?,0.681,0.576,0.541,0.658,0.961,0.081
Why don't you let the nest drift as usual?,0.134,0.757,0.917,0.798,0.065,0.396
I want you,0.416,0.083,0.074,0.535,0.017,0.366
"the bird said, and repeated it all over.",0.644,0.476,0.849,0.308,0.423,0.585
Then Peter tried slow and distinct.,0.747,0.075,0.277,0.238,0.460,0.244
What are you quacking about? and so on.,0.676,0.610,0.581,0.770,0.936,0.109
The Never bird became irritated; they have very short tempers.,0.553,0.119,0.778,0.070,0.580,0.227
You dunderheaded little jay!,0.543,0.345,0.468,0.196,0.004,0.232
