text,joy,sadness,anger,fear
"I wouldn't for the wealth of all the world have crushed that braided hair, and torn it down; and, for the precious little shoe, I wouldn't have plucked it off, God bless my soul! to save my life.",0.070,0.597,0.921,0.125
"As to measuring her waist in sport, as they did, bold young brood, I couldn't have done it; I should have expected my arm to have grown round it for a punishment, and never come straight again.",0.352,0.149,0.100,0.079
"And yet I should have dearly liked, I own, to have touched her lips; to have questioned her, that she might have opened them; to have looked upon the lashes of her downcast eyes, and never raised a blush; to have let loose waves of hair, an inch of which would be a keepsake beyond price: in short, I should have liked, I do confess, to have had the lightest licence of a child, and yet to have been man enough to know its value.",0.567,0.504,0.080,0.270
"But now a knocking at the door was heard, and such a rush immediately ensued that she, with laughing face and plundered dress, was borne towards it in the centre of a flushed and boisterous group, just in time to greet the father, who came home attended by a man laden with Christmas toys and presents.",0.667,0.074,0.975,0.578
"Then the shouting and the struggling, and the onslaught that was made on the defenceless porter!",0.664,0.102,0.801,0.240
"The scaling him, with chairs for ladders, to dive into his pockets, despoil him of brown-paper parcels, hold on tight by his cravat, hug him round the neck, pummel his back, and kick his legs in irrepressible affection!",0.794,0.880,0.806,0.192
The shouts of wonder and delight with which the development of every package was received!,0.276,0.528,0.648,0.390
"The terrible announcement that the baby had been taken in the act of putting a doll's frying-pan into his mouth, and was more than suspected of having swallowed a fictitious turkey, glued on a wooden platter!",0.815,0.385,0.969,0.310
The immense relief of finding this a false alarm!,0.532,0.141,0.701,0.677
"The joy, and gratitude, and ecstasy!",0.302,0.521,0.397,0.362
"It is enough that by degrees, the children and their emotions got out of the parlour, and, by one stair at a time, up to the top of the house, where they went to bed, and so subsided.",0.536,0.256,0.708,0.016
"And now Scrooge looked on more attentively than ever, when the master of the house, having his daughter leaning fondly on him, sat down with her and her mother at his own fireside; and when he thought that such another creature, quite as graceful and as full of promise, might have called him father, and been a spring-time in the haggard winter of his life, his sight grew very dim indeed.",0.640,0.173,0.867,0.149
"""Belle,"" said the husband, turning to his wife with a smile, ""I saw an old friend of yours this afternoon.",0.853,0.905,0.269,0.386
"she added in the same breath, laughing as he laughed. """,0.071,0.486,0.024,0.136
"I passed his office window; and as it was not shut up, and he had a candle inside, I could scarcely help seeing him.",0.148,0.559,0.418,0.334
"His partner lies upon the point of death, I hear; and there he sat alone.",0.206,0.903,0.911,0.010
"Quite alone in the world, I do believe.",0.149,0.498,0.405,0.013
"""  ""Spirit!"" said Scrooge in a broken voice, ""remove me from this place.""",0.600,0.225,0.002,0.854
"""I told you these were shadows of the things that have been,"" said the Ghost.",0.608,0.450,0.254,0.492
"He turned upon the Ghost, and seeing that it looked upon him with a face in which in some strange way there were fragments of all the faces it had shown him, wrestled with it.",0.074,0.169,0.544,0.106
"In the struggle--if that can be called a struggle in which the Ghost, with no visible resistance on its own part, was undisturbed by any effort of its adversary--Scrooge observed that its light was burning high and bright; and dimly connecting that with its influence over him, he seized the extinguisher cap, and by a sudden action pressed it down upon its head.",0.272,0.350,0.713,0.228
"The Spirit dropped beneath it, so that the extinguisher covered its whole form; but, though Scrooge pressed it down with all his force, he could not hide the light, which streamed from under it in an unbroken flood upon the ground.",0.803,0.947,0.441,0.177
"He was conscious of being exhausted, and overcome by an irresistible drowsiness; and, further, of being in his own bedroom.",0.622,0.904,0.962,0.306
"He gave the cap a parting squeeze, in which his hand relaxed; and had barely time to reel to bed before he sank into a heavy sleep.",0.709,0.764,0.873,0.269
THE SECOND OF THE THREE SPIRITS,0.529,0.100,0.403,0.333
"Awaking in the middle of a prodigiously tough snore, and sitting up in bed to get his thoughts together, Scrooge had no occasion to be told that the bell was again upon the stroke of One.",0.664,0.770,0.795,0.209
"He felt that he was restored to consciousness in the right nick of time, for the especial purpose of holding a conference with the second messenger dispatched to him through Jacob Marley's intervention.",0.056,0.233,0.975,0.224
"But, finding that he turned uncomfortably cold when he began to wonder which of his curtains this new spectre would draw back, he put them every one aside with his own hands, and, lying down again, established a sharp look-out all round the bed.",0.824,0.495,0.982,0.236
"For he wished to challenge the Spirit on the moment of its appearance, and did not wish to be taken by surprise and made nervous.",0.731,0.244,0.863,0.219
"Gentlemen of the free-and-easy sort, who plume themselves on being acquainted with a move or two, and being usually equal to the time of day, express the wide range of their capacity for adventure by observing that they are good for anything from pitch-and-toss to manslaughter; between which opposite extremes, no doubt, there lies a tolerably wide and comprehensive range of subjects.",0.254,0.517,0.790,0.100
"Without venturing for Scrooge quite as hardily as this, I don't mind calling on you to believe that he was ready for a good broad field of strange appearances, and that nothing between a baby and a rhinoceros would have astonished him very much.",0.035,0.646,0.294,0.266
"Now, being prepared for almost anything, he was not by any means prepared for nothing; and consequently, when the bell struck One, and no shape appeared, he was taken with a violent fit of trembling.",0.879,0.189,0.933,0.125
"Five minutes, ten minutes, a quarter of an hour went by, yet nothing came.",0.790,0.543,0.211,0.049
"All this time he lay upon his bed, the very core and centre of a blaze of ruddy light, which streamed upon it when the clock proclaimed the hour; and which, being only light, was more alarming than a dozen ghosts, as he was powerless to make out what it meant, or would be at; and was sometimes apprehensive that he might be at that very moment an interesting case of spontaneous combustion, without having the consolation of knowing it.",0.437,0.834,0.705,0.661
"At last, however, he began to think--as you or I would have thought at first; for it is always the person not in the predicament who knows what ought to have been done in it, and would unquestionably have done it too--at last, I say, he began to think that the source and secret of this ghostly light might be in the adjoining room, from whence, on further tracing it, it seemed to shine.",0.976,0.214,0.977,0.048
"The moment Scrooge's hand was on the lock, a strange voice called him by his name, and bade him enter.",0.248,0.626,0.422,0.294
It was his own room.,0.596,0.766,0.760,0.144
There was no doubt about that.,0.638,0.117,0.960,0.070
"The walls and ceiling were so hung with living green, that it looked a perfect grove; from every part of which bright gleaming berries glistened.",0.275,0.774,0.979,0.064
"The crisp leaves of holly, mistletoe, and ivy reflected back the light, as if so many little mirrors had been scattered there; and such a mighty blaze went roaring up the chimney as that dull petrifaction of a hearth had never known in Scrooge's time, or Marley's, or for many and many a winter season gone.",0.559,0.764,0.948,0.136
"Heaped up on the floor, to form a kind of throne, were turkeys, geese, game, poultry, brawn, great joints of meat, sucking-pigs, long wreaths of sausages, mince-pies, plum-puddings, barrels of oysters, red-hot chestnuts, cherry-cheeked apples, juicy oranges, luscious pears, immense twelfth-cakes, and seething bowls of punch, that made the chamber dim with their delicious steam.",0.970,0.252,0.408,0.165
"In easy state upon this couch there sat a jolly Giant, glorious to see; who bore a glowing torch, in shape not unlike Plenty's horn, and held it up, high up, to shed its light on Scrooge as he came peeping round the door.",0.882,0.419,0.557,0.324
"Scrooge entered timidly, and hung his head before this Spirit.",0.418,0.709,0.995,0.218
"He was not the dogged Scrooge he had been; and, though the Spirit's eyes were clear and kind, he did not like to meet them.",0.479,0.634,0.911,0.111
"""I am the Ghost of Christmas Present,"" said the Spirit.",0.607,0.520,0.829,0.557
"It was clothed in one simple deep green robe, or mantle, bordered with white fur.",0.075,0.174,0.907,0.071
"This garment hung so loosely on the figure, that its capacious breast was bare, as if disdaining to be warded or concealed by any artifice.",0.657,0.414,0.974,0.325
"Its feet, observable beneath the ample folds of the garment, were also bare; and on its head it wore no other covering than a holly wreath, set here and there with shining icicles.",0.098,0.495,0.947,0.322
"Its dark brown curls were long and free; free as its genial face, its sparkling eye, its open hand, its cheery voice, its unconstrained demeanour, and its joyful air.",0.313,0.883,0.004,0.792
"Girded round its middle was an antique scabbard; but no sword was in it, and the ancient sheath was eaten up with rust.",0.400,0.329,0.901,0.175
"""You have never seen the like of me before!"" exclaimed the Spirit.",0.599,0.117,0.919,0.552
"""Never,"" Scrooge made answer to it.",0.278,0.405,0.097,0.626
"""Have never walked forth with the younger members of my family; meaning (for I am very young) my elder brothers born in these later years?"" pursued the Phantom.",0.262,0.526,0.142,0.363
"""I don't think I have,"" said Scrooge.",0.224,0.240,0.242,0.524
"""I am afraid I have not.",0.305,0.823,0.738,0.436
"Have you had many brothers, Spirit?""  ""More than eighteen hundred,"" said the Ghost.",0.434,0.928,0.450,0.615
"""Spirit,"" said Scrooge submissively, ""conduct me where you will.",0.514,0.148,0.124,0.522
"I went forth last night on compulsion, and I learnt a lesson which is working now.",0.747,0.700,0.187,0.465
"To-night, if you have aught to teach me, let me profit by it.""",0.126,0.169,0.125,0.315
"Scrooge did as he was told, and held it fast.",0.018,0.737,0.890,0.175
"Holly, mistletoe, red berries, ivy, turkeys, geese, game, poultry, brawn, meat, pigs, sausages, oysters, pies, puddings, fruit, and punch, all vanished instantly.",0.806,0.670,0.246,0.266
"So did the room, the fire, the ruddy glow, the hour of night, and they stood in the city streets on Christmas morning, where (for the weather was severe) the people made a rough, but brisk and not unpleasant kind of music, in scraping the snow from the pavement in front of their dwellings, and from the tops of their houses, whence it was mad delight to the boys to see it come plumping down into the road below, and splitting into artificial little snow-storms.",0.210,0.235,0.883,0.257
"The house-fronts looked black enough, and the windows blacker, contrasting with the smooth white sheet of snow upon the roofs, and with the dirtier snow upon the ground; which last deposit had been ploughed up in deep furrows by the heavy wheels of carts and waggons; furrows that crossed and recrossed each other hundreds of times where the great streets branched off; and made intricate channels, hard to trace, in the thick yellow mud and icy water.",0.282,0.933,0.722,0.339
"The sky was gloomy, and the shortest streets were choked up with a dingy mist, half thawed, half frozen, whose heavier particles descended in a shower of sooty atoms, as if all the chimneys in Great Britain had, by one consent, caught fire, and were blazing away to their dear hearts' content.",0.514,0.300,0.953,0.399
"There was nothing very cheerful in the climate or the town, and yet was there an air of cheerfulness abroad that the clearest summer air and brightest summer sun might have endeavoured to diffuse in vain.",0.810,0.434,0.867,0.233
"For, the people who were shovelling away on the housetops were jovial and full of glee; calling out to one another from the parapets, and now and then exchanging a facetious snowball--better-natured missile far than many a wordy jest--laughing heartily if it went right, and not less heartily if it went wrong.",0.085,0.621,0.972,0.163
"The poulterers' shops were still half open, and the fruiterers' were radiant in their glory.",0.336,0.569,0.466,0.085
"There were great, round, pot-bellied baskets of chestnuts, shaped like the waistcoats of jolly old gentlemen, lolling at the doors, and tumbling out into the street in their apoplectic opulence.",0.535,0.313,0.440,0.097
"There were ruddy, brown-faced, broad-girthed Spanish onions, shining in the fatness of their growth like Spanish Friars, and winking from their shelves in wanton slyness at the girls as they went by, and glanced demurely at the hung-up mistletoe.",0.161,0.669,0.967,0.015
"There were pears and apples clustered high in blooming pyramids; there were bunches of grapes, made, in the shopkeepers' benevolence, to dangle from conspicuous hooks that people's mouths might water gratis as they passed; there were piles of filberts, mossy and brown, recalling, in their fragrance, ancient walks among the woods, and pleasant shufflings ankle deep through withered leaves; there were Norfolk Biffins, squab and swarthy, setting off the yellow of the oranges and lemons, and, in the great compactness of their juicy persons, urgently entreating and beseeching to be carried home in paper bags, and eaten after dinner.",0.166,0.970,0.907,0.209
"The very gold and silver fish, set forth among these choice fruits in a bowl, though members of a dull and stagnant-blooded race, appeared to know that there was something going on; and, to a fish, went gasping round and round their little world in slow and passionless excitement.",0.076,0.878,0.473,0.135
"nearly closed, with perhaps two shutters down, or one; but through those gaps such glimpses!",0.798,0.161,0.910,0.133
"It was not alone that the scales descending on the counter made a merry sound, or that the twine and roller parted company so briskly, or that the canisters were rattled up and down like juggling tricks, or even that the blended scents of tea and coffee were so grateful to the nose, or even that the raisins were so plentiful and rare, the almonds so extremely white, the sticks of cinnamon so long and straight, the other spices so delicious, the candied fruits so caked and spotted with molten sugar as to make the coldest lookers-on feel faint, and subsequently bilious.",0.098,0.633,0.876,0.112
"Nor was it that the figs were moist and pulpy, or that the French plums blushed in modest tartness from their highly-decorated boxes, or that everything was good to eat and in its Christmas dress; but the customers were all so hurried and so eager in the hopeful promise of the day, that they tumbled up against each other at the door, crashing their wicker baskets wildly, and left their purchases upon the counter, and came running back to fetch them, and committed hundreds of the like mistakes, in the best humour possible; while the Grocer and his people were so frank and fresh, that the polished hearts with which they fastened their aprons behind might have been their own, worn outside for general inspection, and for Christmas daws to peck at if they chose.",0.557,0.331,0.205,0.015
"But soon the steeples called good people all to church and chapel, and away they came, flocking through the streets in their best clothes, and with their gayest faces.",0.864,0.948,0.257,0.231
"And at the same time there emerged, from scores of by-streets, lanes, and nameless turnings, innumerable people, carrying their dinners to the bakers' shops.",0.438,0.955,0.739,0.059
"The sight of these poor revellers appeared to interest the Spirit very much, for he stood with Scrooge beside him in a baker's doorway, and, taking off the covers as their bearers passed, sprinkled incense on their dinners from his torch.",0.398,0.859,0.895,0.131
"And it was a very uncommon kind of torch, for once or twice, when there were angry words between some dinner-carriers who had jostled each other, he shed a few drops of water on them from it, and their good-humour was restored directly.",0.631,0.289,0.867,0.284
"God love it, so it was!",0.911,0.173,0.892,0.353
"In time the bells ceased, and the bakers were shut up; and yet there was a genial shadowing forth of all these dinners, and the progress of their cooking, in the thawed blotch of wet above each baker's oven; where the pavement smoked as if its stones were cooking too.",0.125,0.579,0.756,0.140
"""Is there a peculiar flavour in what you sprinkle from your torch?"" asked Scrooge.",0.573,0.636,0.016,0.153
"My own.""  ""Would it apply to any kind of dinner on this day?"" asked Scrooge.",0.194,0.705,0.448,0.216
"To a poor one most.""  ""Why to a poor one most?"" asked Scrooge.",0.061,0.001,0.892,0.150
"""Because it needs it most.""  ""Spirit!"" said Scrooge after a moment's thought.",0.322,0.154,0.433,0.545
"""I wonder you, of all the beings in the many worlds about us, should desire to cramp these people's opportunities of innocent enjoyment.",0.240,0.854,0.302,0.130
"""  ""I!"" cried the Spirit.",0.459,0.333,0.860,0.442
"""You would deprive them of their means of dining every seventh day, often the only day on which they can be said to dine at all,"" said Scrooge; ""wouldn't you?""",0.204,0.444,0.240,0.031
"""You seek to close these places on the Seventh Day,"" said Scrooge.",0.529,0.140,0.436,0.391
"""And it comes to the same thing.""  ""_I_ seek!"" exclaimed the Spirit.",0.604,0.285,0.855,0.338
"""There are some upon this earth of yours,"" returned the Spirit, ""who lay claim to know us, and who do their deeds of passion, pride, ill-will, hatred, envy, bigotry, and selfishness in our name, who are as strange to us, and all our kith and kin, as if they had never lived.",0.686,0.129,0.860,0.160
"Remember that, and charge their doings on themselves, not us.""",0.878,0.966,0.273,0.040
"Scrooge promised that he would; and they went on, invisible, as they had been before, into the suburbs of the town.",0.447,0.407,0.938,0.198
"It was a remarkable quality of the Ghost (which Scrooge had observed at the baker's), that, notwithstanding his gigantic size, he could accommodate himself to any place with ease; and that he stood beneath a low roof quite as gracefully and like a supernatural creature as it was possible he could have done in any lofty hall.",0.783,0.059,0.594,0.201
"And perhaps it was the pleasure the good Spirit had in showing off this power of his, or else it was his own kind, generous, hearty nature, and his sympathy with all poor men, that led him straight to Scrooge's clerk's; for there he went, and took Scrooge with him, holding to his robe; and, on the threshold of the door, the Spirit smiled, and stopped to bless Bob Cratchit's dwelling with the sprinklings of his torch.",0.785,0.870,0.949,0.221
"Bob had but fifteen ""Bob"" a week himself; he pocketed on Saturdays but fifteen copies of his Christian name; and yet the Ghost of Christmas Present blessed his four-roomed house!",0.834,0.323,0.642,0.047
"Then up rose Mrs. Cratchit, Cratchit's wife, dressed out but poorly in a twice-turned gown, but brave in ribbons, which are cheap, and make a goodly show for sixpence; and she laid the cloth, assisted by Belinda Cratchit, second of her daughters, also brave in ribbons; while Master Peter Cratchit plunged a fork into the saucepan of potatoes, and, getting the corners of his monstrous shirt collar (Bob's private property, conferred upon his son and heir in honour of the day) into his mouth, rejoiced to find himself so gallantly attired, and yearned to show his linen in the fashionable Parks.",0.937,0.660,0.805,0.348
"And now two smaller Cratchits, boy and girl, came tearing in, screaming that outside the baker's they had smelt the goose, and known it for their own; and, basking in luxurious thoughts of sage and onion, these young Cratchits danced about the table, and exalted Master Peter Cratchit to the skies, while he (not proud, although his collars nearly choked him) blew the fire, until the slow potatoes, bubbling up, knocked loudly at the saucepan lid to be let out and peeled.",0.710,0.101,0.001,0.023
"""What has ever got your precious father, then?"" said Mrs. Cratchit.",0.907,0.707,0.659,0.188
"And Martha warn't as late last Christmas-day by half an hour!""",0.856,0.095,0.115,0.162
"""Here's Martha, mother!"" said a girl, appearing as she spoke.",0.108,0.612,0.392,0.361
"""Why, bless your heart alive, my dear, how late you are!"" said Mrs. Cratchit, kissing her a dozen times, and taking off her shawl and bonnet for her with officious zeal.",0.433,0.762,0.319,0.115
"""We'd a deal of work to finish up last night,"" replied the girl, ""and had to clear away this morning, mother!""",0.212,0.922,0.203,0.103
"""Well! never mind so long as you are come,"" said Mrs. Cratchit.",0.730,0.939,0.291,0.315
"""Sit ye down before the fire, my dear, and have a warm, Lord bless ye!""",0.020,0.025,0.670,0.295
"So Martha hid herself, and in came little Bob, the father, with at least three feet of comforter, exclusive of the fringe, hanging down before him; and his threadbare clothes darned up and brushed to look seasonable; and Tiny Tim upon his shoulder.",0.395,0.736,0.990,0.042
"Alas for Tiny Tim, he bore a little crutch, and had his limbs supported by an iron frame!",0.448,0.011,0.388,0.135
"""Not coming!"" said Bob with a sudden declension in his high spirits; for he had been Tim's blood horse all the way from church, and had come home rampant.",0.815,0.111,0.780,0.284
"Martha didn't like to see him disappointed, if it were only in joke; so she came out prematurely from behind the closet door, and ran into his arms, while the two young Cratchits hustled Tiny Tim, and bore him off into the wash-house, that he might hear the pudding singing in the copper.",0.263,0.461,0.746,0.123
""" asked Mrs. Cratchit when she had rallied Bob on his credulity, and Bob had hugged his daughter to his heart's content.",0.259,0.980,0.550,0.242
"""As good as gold,"" said Bob, ""and better.",0.353,0.649,0.150,0.431
"Somehow, he gets thoughtful, sitting by himself so much, and thinks the strangest things you ever heard.",0.636,0.715,0.332,0.309
"He told me, coming home, that he hoped the people saw him in the church, because he was a cripple, and it might be pleasant to them to remember upon Christmas-day who made lame beggars walk and blind men see.""",0.912,0.034,0.951,0.481
"Bob's voice was tremulous when he told them this, and trembled more when he said that Tiny Tim was growing strong and hearty.",0.628,0.034,0.638,0.212
"His active little crutch was heard upon the floor, and back came Tiny Tim before another word was spoken, escorted by his brother and sister to his stool beside the fire; and while Bob, turning up his cuffs--as if, poor fellow, they were capable of being made more shabby--compounded some hot mixture in a jug with gin and lemons, and stirred it round and round, and put it on the hob to simmer, Master Peter and the two ubiquitous young Cratchits went to fetch the goose, with which they soon returned in high procession.",0.824,0.144,0.828,0.191
"Such a bustle ensued that you might have thought a goose the rarest of all birds; a feathered phenomenon, to which a black swan was a matter of course--and, in truth, it was something very like it in that house.",0.067,0.644,0.892,0.027
"Mrs. Cratchit made the gravy (ready beforehand in a little saucepan) hissing hot; Master Peter mashed the potatoes with incredible vigour; Miss Belinda sweetened up the apple sauce; Martha dusted the hot plates; Bob took Tiny Tim beside him in a tiny corner at the table; the two young Cratchits set chairs for everybody, not forgetting themselves, and, mounting guard upon their posts, crammed spoons into their mouths, lest they should shriek for goose before their turn came to be helped.",0.750,0.790,0.781,0.094
"At last the dishes were set on, and grace was said.",0.787,0.052,0.701,0.006
"It was succeeded by a breathless pause, as Mrs. Cratchit, looking slowly all along the carving-knife, prepared to plunge it in the breast; but when she did, and when the long-expected gush of stuffing issued forth, one murmur of delight arose all round the board, and even Tiny Tim, excited by the two young Cratchits, beat on the table with the handle of his knife, and feebly cried Hurrah!",0.412,0.707,0.743,0.557
Bob said he didn't believe there ever was such a goose cooked.,0.363,0.763,0.277,0.379
"Eked out by apple sauce and mashed potatoes, it was a sufficient dinner for the whole family; indeed, as Mrs. Cratchit said with great delight (surveying one small atom of a bone upon the dish), they hadn't ate it all at last!",0.043,0.760,0.732,0.023
"But now, the plates being changed by Miss Belinda, Mrs. Cratchit left the room alone--too nervous to bear witnesses--to take the pudding up, and bring it in.",0.423,0.888,0.822,0.028
Suppose it should not be done enough!,0.578,0.860,0.900,0.094
Suppose it should break in turning out!,0.621,0.544,0.278,0.627
"Suppose somebody should have got over the wall of the back-yard and stolen it, while they were merry with the goose--a supposition at which the two young Cratchits became livid!",0.826,0.833,0.662,0.026
All sorts of horrors were supposed.,0.187,0.152,0.861,0.313
A great deal of steam!,0.433,0.226,0.962,0.442
A smell like a washing-day!,0.315,0.295,0.743,0.196
"A smell like an eating-house and a pastrycook's next door to each other, with a laundress's next door to that!",0.743,0.808,0.587,0.321
"In half a minute Mrs. Cratchit entered--flushed, but smiling proudly--with the pudding, like a speckled cannon-ball, so hard and firm, blazing in half of half-a-quartern of ignited brandy, and bedight with Christmas holly stuck into the top.",0.433,0.284,0.516,0.443
"Bob Cratchit said, and calmly too, that he regarded it as the greatest success achieved by Mrs. Cratchit since their marriage.",0.673,0.712,0.102,0.204
"Mrs. Cratchit said that, now the weight was off her mind, she would confess she had her doubts about the quantity of flour.",0.391,0.250,0.610,0.122
It would have been flat heresy to do so.,0.596,0.567,0.447,0.010
Any Cratchit would have blushed to hint at such a thing.,0.569,0.306,0.167,0.008
"At last the dinner was all done, the cloth was cleared, the hearth swept, and the fire made up.",0.497,0.203,0.811,0.026
"The compound in the jug being tasted, and considered perfect, apples and oranges were put upon the table, and a shovel full of chestnuts on the fire.",0.090,0.361,0.599,0.391
"Then all the Cratchit family drew round the hearth in what Bob Cratchit called a circle, meaning half a one; and at Bob Cratchit's elbow stood the family display of glass.",0.461,0.723,0.566,0.043
"These held the hot stuff from the jug, however, as well as golden goblets would have done; and Bob served it out with beaming looks, while the chestnuts on the fire sputtered and cracked noisily.",0.304,0.722,0.038,0.376
"Then Bob proposed:  ""A merry Christmas to us all, my dears.",0.871,0.860,0.331,0.109
"""God bless us every one!"" said Tiny Tim, the last of all.",0.796,0.196,0.393,0.165
"He sat very close to his father's side, upon his little stool.",0.429,0.836,0.095,0.352
"Bob held his withered little hand in his, as if he loved the child, and wished to keep him by his side, and dreaded that he might be taken from him.",0.514,0.643,0.716,0.236
"""Spirit,"" said Scrooge with an interest he had never felt before, ""tell me if Tiny Tim will live.",0.174,0.568,0.217,0.471
"If these shadows remain unaltered by the Future, the child will die.""",0.057,0.649,0.842,0.258
"""Oh, no, kind Spirit! say he will be spared.""",0.165,0.376,0.161,0.324
"""If these shadows remain unaltered by the Future, none other of my race,"" returned the Ghost, ""will find him here.",0.078,0.118,0.927,0.360
"If he be like to die, he had better do it, and decrease the surplus population.""",0.468,0.912,0.752,0.114
"Scrooge hung his head to hear his own words quoted by the Spirit, and was overcome with penitence and grief.",0.272,0.645,0.929,0.159
"""Man,"" said the Ghost, ""if man you be in heart, not adamant, forbear that wicked cant until you have discovered What the surplus is, and Where it is.",0.430,0.390,0.286,0.302
"Will you decide what men shall live, what men shall die?",0.545,0.263,0.508,0.192
"It may be that, in the sight of Heaven, you are more worthless and less fit to live than millions like this poor man's child.",0.656,0.277,0.772,0.295
"Oh God! to hear the Insect on the leaf pronouncing on the too much life among his hungry brothers in the dust!""",0.488,0.906,0.514,0.391
"Scrooge bent before the Ghost's rebuke, and, trembling, cast his eyes upon the ground.",0.842,0.683,0.581,0.636
"""I'll give you Mr. Scrooge, the Founder of the Feast!""",0.263,0.152,0.214,0.339
"""The Founder of the Feast, indeed!"" cried Mrs. Cratchit, reddening.",0.880,0.337,0.187,0.314
"I'd give him a piece of my mind to feast upon, and I hope he'd have a good appetite for it.""",0.220,0.356,0.413,0.451
"""It should be Christmas-day, I am sure,"" said she, ""on which one drinks the health of such an odious, stingy, hard, unfeeling man as Mr. Scrooge.",0.241,0.152,0.806,0.359
"""I'll drink his health for your sake and the Day's,"" said Mrs. Cratchit, ""not for his.",0.917,0.400,0.453,0.233
A merry Christmas and a happy New Year!,0.476,0.913,0.933,0.120
"He'll be very merry and very happy, I have no doubt!""",0.114,0.698,0.908,0.303
"Tiny Tim drank it last of all, but he didn't care twopence for it.",0.091,0.326,0.334,0.340
"The mention of his name cast a dark shadow on the party, which was not dispelled for full five minutes.",0.894,0.371,0.966,0.085
"After it had passed away they were ten times merrier than before, from the mere relief of Scrooge the Baleful being done with.",0.391,0.100,0.127,0.437
"Bob Cratchit told them how he had a situation in his eye for Master Peter, which would bring in, if obtained, full five-and-sixpence weekly.",0.413,0.313,0.379,0.255
"The two young Cratchits laughed tremendously at the idea of Peter's being a man of business; and Peter himself looked thoughtfully at the fire from between his collars, as if he were deliberating what particular investments he should favour when he came into the receipt of that bewildering income.",0.526,0.676,0.257,0.025
"Martha, who was a poor apprentice at a milliner's, then told them what kind of work she had to do, and how many hours she worked at a stretch, and how she meant to lie abed to-morrow morning for a good long rest; to-morrow being a holiday she passed at home.",0.739,0.237,0.688,0.017
"Also how she had seen a countess and a lord some days before, and how the lord ""was much about as tall as Peter""; at which Peter pulled up his collars so high, that you couldn't have seen his head if you had been there.",0.678,0.063,0.762,0.041
"All this time the chestnuts and the jug went round and round; and by-and-by they had a song, about a lost child travelling in the snow, from Tiny Tim, who had a plaintive little voice, and sang it very well indeed.",0.465,0.354,0.070,0.306
There was nothing of high mark in this.,0.239,0.404,0.845,0.155
"They were not a handsome family; they were not well dressed; their shoes were far from being waterproof; their clothes were scanty; and Peter might have known, and very likely did, the inside of a pawn-broker's.",0.112,0.847,0.877,0.132
"But they were happy, grateful, pleased with one another, and contented with the time; and when they faded, and looked happier yet in the bright sprinklings of the Spirit's torch at parting, Scrooge had his eye upon them, and especially on Tiny Tim, until the last.",0.415,0.237,0.228,0.022
"By this time it was getting dark, and snowing pretty heavily; and as Scrooge and the Spirit went along the streets, the brightness of the roaring fires in kitchens, parlours, and all sorts of rooms was wonderful.",0.321,0.057,0.982,0.272
"Here, the flickering of the blaze showed preparations for a cosy dinner, with hot plates baking through and through before the fire, and deep red curtains, ready to be drawn to shut out cold and darkness.",0.412,0.801,0.938,0.430
"Here, again, were shadows on the window blinds of guests assembling; and there a group of handsome girls, all hooded and fur-booted, and all chattering at once, tripped lightly off to some near neighbour's house; where, woe upon the single man who saw them enter--artful witches, well they knew it--in a glow!",0.304,0.778,0.975,0.062
"But, if you had judged from the numbers of people on their way to friendly gatherings, you might have thought that no one was at home to give them welcome when they got there, instead of every house expecting company, and piling up its fires half-chimney high.",0.697,0.256,0.638,0.059
"Blessings on it, how the Ghost exulted!",0.519,0.346,0.113,0.598
"How it bared its breadth of breast, and opened its capacious palm, and floated on, outpouring, with a generous hand, its bright and harmless mirth on everything within its reach!",0.735,0.949,0.087,0.614
"The very lamp-lighter, who ran on before, dotting the dusky street with specks of light, and who was dressed to spend the evening somewhere, laughed out loudly as the Spirit passed, though little kenned the lamp-lighter that he had any company but Christmas.",0.991,0.406,0.544,0.384
"And now, without a word of warning from the Ghost, they stood upon a bleak and desert moor, where monstrous masses of rude stone were cast about, as though it were the burial-place or giants; and water spread itself wheresoever it listed; or would have done so, but for the frost that held it prisoner; and nothing grew but moss and furze, and coarse, rank grass.",0.785,0.494,0.886,0.121
"Down in the west the setting sun had left a streak of fiery red, which glared upon the desolation for an instant, like a sullen eye, and, frowning lower, lower, lower yet, was lost in the thick gloom of darkest night.",0.085,0.227,0.649,0.233
"""What place is this?"" asked Scrooge.",0.144,0.886,0.204,0.250
"""A place where Miners live, who labour in the bowels of the earth,"" returned the Spirit. """,0.397,0.864,0.960,0.588
"Passing through the wall of mud and stone, they found a cheerful company assembled round a glowing fire.",0.838,0.009,0.611,0.441
"An old, old man and woman, with their children and their children's children, and another generation beyond that, all decked out gaily in their holiday attire.",0.356,0.547,0.624,0.412
"The old man, in a voice that seldom rose above the howling of the wind upon the barren waste, was singing them a Christmas song; it had been a very old song when he was a boy; and from time to time they all joined in the chorus.",0.665,0.112,0.413,0.212
"So surely as they raised their voices, the old man got quite blithe and loud; and, so surely as they stopped, his vigour sank again.",0.423,0.561,0.847,0.076
"The Spirit did not tarry here, but bade Scrooge hold his robe, and, passing on above the moor, sped whither?",0.709,0.762,0.933,0.270
"To Scrooge's horror, looking back, he saw the last of the land, a frightful range of rocks, behind them; and his ears were deafened by the thundering of water, as it rolled and roared, and raged among the dreadful caverns it had worn, and fiercely tried to undermine the earth.",0.231,0.466,0.830,0.242
